objectid,parentid,filename,title,creator,creatorrole,date,othernameflags,cataloglevel,classificationterms,worktype,dimesnsions,material,technique,subject,specificsubjects,specificsubjectsources,subjectnames,subjectnamessources,format,filesize,rights,rightsstatement,catalogername,catalogingaction,catalogingdate
fw-01,,,Ceramics Collection,"Wadsworth, Fynn",craftsman (person),2024-05-03,suiteheartts,group,pottery (visual works),studio ceramics; teapots; decorative mugs; bowls (vessels),"Bowl: 2.5 cm (height) x 14 cm (diameter) (1 inch x 5 1/2 inches)
Tea Pot: 15.9 cm (height) x 20.4 cm (width at widest point, including spout and handle) x 11.1 cm (width at widest point, excluding handle and spout) (6 1/4 inches x 8 inches x 4 3/8 inches)
Mugs (approximate for both): 11.7 cm (height) x 13 cm (width at widest point, including handles) x 8.3 cm (width at widest point, excluding handles) (4 3/8 inches x 5 1/3 inches x 3 1/4 inches)",potter's clay,throwing (pottery technique),Glazed pottery,Ceramic teapots; Ceramic bowls; Teacups,http://id.loc.gov/authorities/subjects/sh88006981; http://id.loc.gov/authorities/subjects/sh2002004575; http://id.loc.gov/authorities/subjects/sh2011005983,,,compound_object,,"Protected under the Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International:
This license requires that reusers give credit to the creator. It allows reusers to copy and distribute the material in any medium or format in unadapted form and for noncommercial purposes only.","This work is licensed under CC BY-NC-ND 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-nd/4.0/","Digmann-Pearson, G.",Metadata Creation,2025-04-28
fw-02,fw-01,all_pottery_1.jpg,Mugs and Tea Pot #1,"Wadsworth, Fynn",craftsman (person),2024-05-03,suiteheartts,group,pottery (visual works),,,potter's clay,throwing (pottery technique),Glazed pottery,,,,,image/jpeg,459 KB,"Protected under the Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International:
This license requires that reusers give credit to the creator. It allows reusers to copy and distribute the material in any medium or format in unadapted form and for noncommercial purposes only.","This work is licensed under CC BY-NC-ND 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-nd/4.0/","Digmann-Pearson, G.",Metadata Creation,2025-04-28
fw-03,fw-01,all_pottery_2.jpg,Mugs and Tea Pot #2,"Wadsworth, Fynn",craftsman (person),2024-05-03,suiteheartts,group,pottery (visual works),,,potter's clay,throwing (pottery technique),Glazed pottery,,,,,image/jpeg,395 KB,"Protected under the Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International:
This license requires that reusers give credit to the creator. It allows reusers to copy and distribute the material in any medium or format in unadapted form and for noncommercial purposes only.","This work is licensed under CC BY-NC-ND 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-nd/4.0/","Digmann-Pearson, G.",Metadata Creation,2025-04-28
fw-04,fw-01,pottery_bowl_1.jpg,Ceramic Bowl #1,"Wadsworth, Fynn",craftsman (person),2024-05-03,suiteheartts,group,pottery (visual works),,,potter's clay,throwing (pottery technique),Glazed pottery,,,,,image/jpeg,396 KB,"Protected under the Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International:
This license requires that reusers give credit to the creator. It allows reusers to copy and distribute the material in any medium or format in unadapted form and for noncommercial purposes only.","This work is licensed under CC BY-NC-ND 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-nd/4.0/","Digmann-Pearson, G.",Metadata Creation,2025-04-28
fw-05,fw-01,pottery_bowl_2.jpg,Ceramic Bowl #2,"Wadsworth, Fynn",craftsman (person),2024-05-03,suiteheartts,group,pottery (visual works),,,potter's clay,throwing (pottery technique),Glazed pottery,,,,,image/jpeg,334 KB,"Protected under the Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International:
This license requires that reusers give credit to the creator. It allows reusers to copy and distribute the material in any medium or format in unadapted form and for noncommercial purposes only.","This work is licensed under CC BY-NC-ND 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-nd/4.0/","Digmann-Pearson, G.",Metadata Creation,2025-04-28
fw-06,fw-01,pottery_bowl_3.jpg,Ceramic Bowl #3,"Wadsworth, Fynn",craftsman (person),2024-05-03,suiteheartts,group,pottery (visual works),,,potter's clay,throwing (pottery technique),Glazed pottery,,,,,image/jpeg,365 KB,"Protected under the Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International:
This license requires that reusers give credit to the creator. It allows reusers to copy and distribute the material in any medium or format in unadapted form and for noncommercial purposes only.","This work is licensed under CC BY-NC-ND 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-nd/4.0/","Digmann-Pearson, G.",Metadata Creation,2025-04-28
fw-07,fw-01,pottery_teapot.jpg,Ceramic Teapot,"Wadsworth, Fynn",craftsman (person),2024-05-03,suiteheartts,group,pottery (visual works),,,potter's clay,throwing (pottery technique),Glazed pottery,,,,,image/jpeg,358 KB,"Protected under the Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International:
This license requires that reusers give credit to the creator. It allows reusers to copy and distribute the material in any medium or format in unadapted form and for noncommercial purposes only.","This work is licensed under CC BY-NC-ND 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-nd/4.0/","Digmann-Pearson, G.",Metadata Creation,2025-04-28
fw-08,fw-01,pottery_mug.jpg,Ceramic Mug,"Wadsworth, Fynn",craftsman (person),2024-05-13,suiteheartts,group,pottery (visual works),,,potter's clay,throwing (pottery technique),Glazed pottery,,,,,image/jpeg,277 KB,"Protected under the Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International:
This license requires that reusers give credit to the creator. It allows reusers to copy and distribute the material in any medium or format in unadapted form and for noncommercial purposes only.","This work is licensed under CC BY-NC-ND 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-nd/4.0/","Digmann-Pearson, G.",Metadata Creation,2025-04-28
fw-09,,Cleric.jpg,Fancy Wizard Guy,"Wadsworth, Fynn",illustrator,2025-03,suiteheartts,item,illustration (proccess),digital art (visual works),2550 x 3300 pixels,Procreate™ (support),computer drawing,fantasy,Wizards,https://www.tumblr.com/suiteheartts/777389903700983808/a-fancy-little-wizard-guy-heavily-inspired-by-botw?source=share,,,image/jpeg,200 KB,"Protected under the Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International:
This license requires that reusers give credit to the creator. It allows reusers to copy and distribute the material in any medium or format in unadapted form and for noncommercial purposes only.","This work is licensed under CC BY-NC-ND 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-nd/4.0/","Digmann-Pearson, G.",Metadata Creation,2025-04-28
fw-10,,Grae_BDay_2024_Piece.jpg,"Dracula Design for Grae's Birthday, 2024","Wadsworth, Fynn",illustrator,2024-03,suiteheartts,item,illustration (proccess),digital art (visual works),3048 x 4064 pixels ,Procreate™ (support),computer drawing,literary; symbols; figurative art,"Gothic fiction (Literary genre), Vampires in mass media, Literary classics
Dracula, Count (Fictitious character); Stoker, Bram, 1847-1912. Dracula; Harker, Jonathan (Fictious character)",https://www.tumblr.com/suiteheartts/748248118968107008/poster-design-based-on-bram-stokers-dracula-for-a?source=share,"Dracula, Count (Fictitious character) (preferred)
Stoker, Bram, 1847-1912. Dracula (preferred)
Stoker, Bram, 1847-1912. Essential Dracula (variant)","http://id.loc.gov/authorities/names/nb2017002572
http://id.loc.gov/authorities/names/n93100050",image/jpeg,382 KB,"Protected under the Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International:
This license requires that reusers give credit to the creator. It allows reusers to copy and distribute the material in any medium or format in unadapted form and for noncommercial purposes only.","This work is licensed under CC BY-NC-ND 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-nd/4.0/","Digmann-Pearson, G.",Metadata Creation,2025-04-28
fw-11,,Knight_Chappell.jpg,Knight Chappell,"Wadsworth, Fynn",illustrator,2024-09-11,suiteheartts,item,illustration (proccess),digital art (visual works),3048 x 4064 pixels,Procreate™ (support),computer drawing,figurative art; costume,"Singers--United States; Costume design; Saints--Legends; Roan, Chappell, 1998-",https://www.tumblr.com/suiteheartts/761390370282176512/yall-saw-this-shit-right?source=share,"Roan, Chappell, 1998- (preferred)
Amstutz, Kayleigh Rose, 1998- (variant)",http://id.loc.gov/authorities/names/no2024107086,image/jpeg,275 KB,"Protected under the Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International:
This license requires that reusers give credit to the creator. It allows reusers to copy and distribute the material in any medium or format in unadapted form and for noncommercial purposes only.","This work is licensed under CC BY-NC-ND 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-nd/4.0/","Digmann-Pearson, G.",Metadata Creation,2025-04-28
fw-12,,LNAP_shirt.jpg,LNAP Shirt Design,"Wadsworth, Fynn",illustrator,2024-02,suiteheartts,item,illustration (proccess),digital art (visual works),4064 x 3048 pixels,Procreate™ (support),computer drawing,still life,"Academic libraries; Study environments; Central College (Pella, Iowa)",,"Late Night Against Procrastination (Geisler library event); Central College (Pella, Iowa)",http://id.loc.gov/authorities/names/n81055693,image/jpeg,283 KB,"Protected under the Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International:
This license requires that reusers give credit to the creator. It allows reusers to copy and distribute the material in any medium or format in unadapted form and for noncommercial purposes only.","This work is licensed under CC BY-NC-ND 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-nd/4.0/","Digmann-Pearson, G.",Metadata Creation,2025-04-28
